600837,601211,166
600030,600837,155
601211,601688,148
600837,601688,146
600030,601211,145
600030,601688,137
601398,601988,135
601398,601939,107
600837,601377,106
601211,601377,103
601288,601398,98
601288,601988,94
600999,601211,93
600837,600999,91
600999,601688,90
600030,600999,90
601939,601988,87
601377,601688,82
600030,601377,81
600837,601901,80
601288,601939,78
601186,601390,78
601328,601988,76
601688,601901,73
600016,600036,70
601328,601398,70
600030,601788,67
600489,600547,65
601186,601800,64
601211,601788,64
601866,601919,63
600036,601988,63
600036,601398,61
600837,601788,60
601688,601788,59
601390,601800,58
600030,601901,58
600036,601166,56
601288,601328,56
600026,601919,55
600036,601328,55
601318,601628,55
601211,601901,55
600999,601377,53
600000,600036,52
600958,601211,51
600016,601166,51
600547,600988,51
600016,601398,50
600036,601998,50
601166,601328,49
601336,601628,49
601328,601939,48
600547,601069,48
600109,601688,48
601377,601788,48
600036,601818,48
600026,601866,47
601377,601901,46
600000,600016,46
600340,601992,45
600109,601211,44
601601,601628,44
600288,601010,44
600988,601069,44
600958,601688,44
601555,601688,43
600030,600958,43
600158,603555,43
600036,601939,43
600016,601988,43
600000,601166,42
601318,601601,42
601166,601398,42
600029,600115,42
600028,601857,42
600958,600999,41
601336,601601,41
600029,601111,41
600158,600358,41
600489,600988,41
600016,601998,41
600288,600857,41
600259,600549,41
600109,600837,40
600150,601989,40
600150,600685,40
600391,600893,40
600528,601390,40
601166,601988,40
601318,601336,40
600016,601328,39
600999,601788,39
601377,601555,39
600837,600958,39
600288,600503,39
601166,601318,38
600111,600549,38
600369,600837,38
600115,601111,38
601668,601800,38
600015,600036,38
600503,601010,38
600837,601555,37
601186,601669,36
600030,601555,36
600005,600019,36
600489,601069,36
600000,601988,36
600369,601688,36
601198,601688,36
600428,601919,36
600000,601398,36
601008,601880,35
600259,600392,35
600857,601010,35
601988,601998,35
600958,601788,35
600030,601099,34
600392,600549,34
600000,601998,34
600030,600369,34
601390,601669,34
600030,600109,34
600108,600598,34
600036,601288,34
600016,601288,34
600111,600259,34
600340,601000,34
601398,601998,34
600958,601377,33
601669,601800,33
600030,601198,33
600495,601002,33
600598,601118,33
600000,601328,33
600026,600428,33
600503,600857,33
601211,601985,32
600030,601166,32
600369,601211,32
601186,601668,32
601211,601555,32
600369,601377,32
601000,601992,32
600999,601555,31
601398,601818,31
600663,600895,31
600369,600999,31
600428,601866,30
600108,601118,30
600999,601198,30
601818,601998,30
601390,601668,30
601099,601688,30
600449,600720,30
601166,601998,30
601328,601818,30
601328,601998,30
600015,600016,30
600000,601818,30
600604,600895,30
600109,600999,29
601198,601377,29
600000,600015,29
600999,601901,29
600030,601318,29
601099,601211,29
600016,601939,29
600528,601186,29
600358,603555,29
600425,600545,29
600016,601169,28
601166,601818,28
601198,601211,28
600111,600392,28
600015,601998,28
600837,601198,27
600016,600030,27
603398,603936,27
601818,601988,27
601166,601169,27
600016,601818,27
600875,601727,27
601166,601939,26
600109,601377,26
601099,601377,26
600528,601800,26
600359,600540,26
600118,600879,26
600837,601099,25
601288,601998,25
600317,601880,25
600519,601318,25
601166,601288,25
601009,601169,24
600036,601169,24
600446,600570,24
600072,600685,24
601939,601998,24
601166,601211,24
600109,601555,24
601818,601939,23
603508,603996,23
600958,601901,23
601727,601985,23
600000,601288,23
601788,601901,23
600685,601989,23
600109,601788,23
600190,601880,23
600158,600287,23
600017,601880,23
601618,601800,23
600016,601211,23
601288,601818,22
600369,601901,22
600958,601198,22
600015,601166,22
600639,600648,22
600015,601328,22
600908,601128,22
600837,601318,22
600016,601318,22
600958,601555,22
600519,600887,22
601211,601988,22
600368,600712,22
601186,601618,21
600919,601997,21
600999,601099,21
600369,601788,21
600118,600343,21
603398,603999,21
600072,600150,21
603696,603936,21
601872,601919,21
600026,601872,21
603936,603999,21
601198,601555,21
600106,600279,20
600958,601099,20
601018,601880,20
601099,601555,20
600133,600895,20
601211,601318,20
600015,601818,20
603696,603999,20
601668,601669,20
600503,600516,20
600519,601166,20
600340,600376,20
600109,600369,20
601009,601998,20
600015,601988,20
600630,600650,20
600837,601166,20
601169,601328,20
601169,601998,20
601198,601788,20
603398,603696,20
600015,601398,20
600875,601985,19
600694,600697,19
600369,601555,19
601169,601988,19
600000,601169,19
600015,601169,19
600648,600663,19
600531,600547,19
601555,601901,19
600084,600130,19
601088,601898,19
601318,601988,19
600287,603555,19
600030,600519,19
600050,600150,19
600036,601211,19
601866,601872,19
600158,603000,19
600190,600317,18
601390,601618,18
600118,601989,18
